"season","your_mvp","mvp_score"
"1996","Karl Malone","19.30"
"1997","Shaquille O'Neal","20.32"
"1998","Karl Malone","16.71"
"1999","Shaquille O'Neal","20.57"
"2000","Shaquille O'Neal","18.94"
"2001","Shaquille O'Neal","18.62"
"2002","Dirk Nowitzki","17.95"
"2003","Kevin Garnett","18.63"
"2004","Tim Duncan","17.43"
"2005","Kobe Bryant","18.68"
"2006","Dirk Nowitzki","17.04"
"2007","Kobe Bryant","17.55"
"2008","LeBron James","20.39"
"2009","LeBron James","20.07"
"2010","LeBron James","18.36"
"2011","LeBron James","18.46"
"2012","LeBron James","19.73"
"2013","Kevin Durant","19.26"
"2014","Stephen Curry","18.41"
"2015","Stephen Curry","21.36"
"2016","Russell Westbrook","20.13"
"2017","James Harden","19.61"
"2018","James Harden","20.74"
"2019","Giannis Antetokounmpo","22.36"
"2020","Giannis Antetokounmpo","19.44"
"2021","Nikola Jokic","20.07"
"2022","Joel Embiid","20.40"
