"season","your_mvp","actual_mvp","result"
"1996","Karl Malone","Michael Jordan","❌ Miss"
"1997","Shaquille O'Neal","Michael Jordan","❌ Miss"
"1998","Karl Malone","Karl Malone","✅ Match"
"1999","Shaquille O'Neal","Shaquille O’Neal","❌ Miss"
"2000","Shaquille O'Neal","Allen Iverson","❌ Miss"
"2001","Shaquille O'Neal","Tim Duncan","❌ Miss"
"2002","Dirk Nowitzki","Kevin Garnett","❌ Miss"
"2003","Kevin Garnett","Kevin Garnett","✅ Match"
"2004","Tim Duncan","Steve Nash","❌ Miss"
"2005","Kobe Bryant","Steve Nash","❌ Miss"
"2006","Dirk Nowitzki","Dirk Nowitzki","✅ Match"
"2007","Kobe Bryant","Kobe Bryant","✅ Match"
"2008","LeBron James","LeBron James","✅ Match"
"2009","LeBron James","LeBron James","✅ Match"
"2010","LeBron James","Derrick Rose","❌ Miss"
"2011","LeBron James","LeBron James","✅ Match"
"2012","LeBron James","LeBron James","✅ Match"
"2013","Kevin Durant","Kevin Durant","✅ Match"
"2014","Stephen Curry","Stephen Curry","✅ Match"
"2015","Stephen Curry","Stephen Curry","✅ Match"
"2016","Russell Westbrook","Kevin Durant","❌ Miss"
"2017","James Harden","James Harden","✅ Match"
"2018","James Harden","Giannis Antetokounmpo","❌ Miss"
"2019","Giannis Antetokounmpo","LeBron James","❌ Miss"
"2020","Giannis Antetokounmpo","Giannis Antetokounmpo","✅ Match"
"2021","Nikola Jokic","Nikola Jokić","❌ Miss"
"2022","Joel Embiid","Nikola Jokić","❌ Miss"
